,architecture,downstream,pre-training,number_of_samples,model_name,f1_macro_mean,f1_macro_std,f1_macro_count
178,ResNet50,DDI,Derma_SSL_SimCLR,30,knn,0.5439896374838302,0.06945792885778264,100
179,ResNet50,DDI,Derma_SSL_SimCLR,30,lr,0.5835228600078111,0.04723299383676475,100
180,ResNet50,DDI,ImageNet_1k_SL_V1,1,dc,0.4260869565217391,0.0,100
181,ResNet50,DDI,ImageNet_1k_SL_V1,1,knn,0.48761513060734346,0.1207217850514465,100
182,ResNet50,DDI,ImageNet_1k_SL_V1,1,lr,0.48757616999773196,0.1205582639772589,100
183,ResNet50,DDI,ImageNet_1k_SL_V1,10,dc,0.4260869565217391,0.0,100
184,ResNet50,DDI,ImageNet_1k_SL_V1,10,knn,0.5595469819311312,0.08892508795446108,100
185,ResNet50,DDI,ImageNet_1k_SL_V1,10,lr,0.5693577270415345,0.0814114183502293,100
186,ResNet50,DDI,ImageNet_1k_SL_V1,100,dc,0.4260869565217391,0.0,100
187,ResNet50,DDI,ImageNet_1k_SL_V1,100,knn,0.6408748587368243,0.04668278217593084,100
188,ResNet50,DDI,ImageNet_1k_SL_V1,100,lr,0.6269797364858417,0.045781945059964656,100
189,ResNet50,DDI,ImageNet_1k_SL_V1,3,dc,0.4260869565217391,0.0,100
190,ResNet50,DDI,ImageNet_1k_SL_V1,3,knn,0.5195788345056941,0.10691652953363186,100
191,ResNet50,DDI,ImageNet_1k_SL_V1,3,lr,0.5498555466209593,0.09708427490652204,100
192,ResNet50,DDI,ImageNet_1k_SL_V1,30,dc,0.4260869565217391,0.0,100
193,ResNet50,DDI,ImageNet_1k_SL_V1,30,knn,0.6001384636740603,0.06491175507900741,100
194,ResNet50,DDI,ImageNet_1k_SL_V1,30,lr,0.5847514570577103,0.0654727371734927,100
195,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,1,dc,0.4260869565217391,0.0,100
196,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,1,knn,0.44551315773395544,0.08277511015809867,100
197,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,1,lr,0.44551315773395544,0.08277511015809867,100
198,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,10,dc,0.4260869565217391,0.0,100
199,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,10,knn,0.4696863412181633,0.06090276714507627,100
200,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,10,lr,0.4667643385820135,0.08012741594688651,100
201,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,100,dc,0.4260869565217391,0.0,100
202,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,100,knn,0.5073887140128055,0.046985443682423536,100
203,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,100,lr,0.4971871301930093,0.05153643776050729,100
204,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,3,dc,0.4260869565217391,0.0,100
205,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,3,knn,0.44647714920408726,0.06871038189309199,100
206,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,3,lr,0.4585120047224656,0.08760176119907037,100
207,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,30,dc,0.4260869565217391,0.0,100
208,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,30,knn,0.4671861626750264,0.05997650416542344,100
209,ResNet50,DDI,ImageNet_1k_SSL_SimCLR,30,lr,0.48620241784240675,0.0579424443676012,100
210,ResNet50,DDI,PDDD,1,dc,0.4260869565217391,0.0,100
211,ResNet50,DDI,PDDD,1,knn,0.4078259645033744,0.1066459407588074,100
212,ResNet50,DDI,PDDD,1,lr,0.4076956503730602,0.10650311599067255,100
213,ResNet50,DDI,PDDD,10,dc,0.4260869565217391,0.0,100
214,ResNet50,DDI,PDDD,10,knn,0.4641356602446671,0.08651587008674783,100
215,ResNet50,DDI,PDDD,10,lr,0.5162788791537064,0.08815304343353125,100
216,ResNet50,DDI,PDDD,100,dc,0.4260869565217391,0.0,100
217,ResNet50,DDI,PDDD,100,knn,0.5277896628102452,0.06305778930045525,100
218,ResNet50,DDI,PDDD,100,lr,0.5924991276024744,0.04743689938276729,100
219,ResNet50,DDI,PDDD,3,dc,0.4260869565217391,0.0,100
220,ResNet50,DDI,PDDD,3,knn,0.44081012076716397,0.09929966748617561,100
221,ResNet50,DDI,PDDD,3,lr,0.4755864370783502,0.10275035112882998,100
222,ResNet50,DDI,PDDD,30,dc,0.4260869565217391,0.0,100
223,ResNet50,DDI,PDDD,30,knn,0.4983984358592389,0.07951030911265095,100
224,ResNet50,DDI,PDDD,30,lr,0.552157924845075,0.06534257666970401,100
225,ResNet50,DDI,Random,1,dc,0.4260869565217391,0.0,100
226,ResNet50,DDI,Random,1,knn,0.4340137060941891,0.08029310541511567,100
227,ResNet50,DDI,Random,1,lr,0.4342605546898355,0.08460207022532423,100
228,ResNet50,DDI,Random,10,dc,0.4260869565217391,0.0,100
229,ResNet50,DDI,Random,10,knn,0.46049597550407645,0.06229465466709014,100
230,ResNet50,DDI,Random,10,lr,0.4709878384935468,0.06018621674071114,100
231,ResNet50,DDI,Random,100,dc,0.4260869565217391,0.0,100
232,ResNet50,DDI,Random,100,knn,0.4666826657725965,0.05262576082265306,100
233,ResNet50,DDI,Random,100,lr,0.5750912784195659,0.0514275828850629,100
234,ResNet50,DDI,Random,3,dc,0.4260869565217391,0.0,100
235,ResNet50,DDI,Random,3,knn,0.4535345882872764,0.06803691274465681,100
236,ResNet50,DDI,Random,3,lr,0.46422786444897723,0.06092602218144397,100
237,ResNet50,DDI,Random,30,dc,0.4260869565217391,0.0,100
238,ResNet50,DDI,Random,30,knn,0.47231009941718993,0.05721010231055591,100
239,ResNet50,DDI,Random,30,lr,0.5042816323800338,0.06021436655988982,100
240,ViT_T16,DDI,Derma,1,dc,0.4260869565217391,0.0,100
241,ViT_T16,DDI,Derma,1,knn,0.4770783976972934,0.08773125386137749,100
242,ViT_T16,DDI,Derma,1,lr,0.47834219685289464,0.08909118861675198,100
243,ViT_T16,DDI,Derma,10,dc,0.4260869565217391,0.0,100
244,ViT_T16,DDI,Derma,10,knn,0.5378514056737282,0.06806668103096733,100
245,ViT_T16,DDI,Derma,10,lr,0.5303831475762542,0.06417107468944538,100
246,ViT_T16,DDI,Derma,100,dc,0.4260869565217391,0.0,100
247,ViT_T16,DDI,Derma,100,knn,0.5943114992875692,0.045636479644370766,100
248,ViT_T16,DDI,Derma,100,lr,0.5528047664181807,0.04805083694015714,100
249,ViT_T16,DDI,Derma,3,dc,0.4260869565217391,0.0,100
250,ViT_T16,DDI,Derma,3,knn,0.5118973220634956,0.06036894049991315,100
251,ViT_T16,DDI,Derma,3,lr,0.5101793451827441,0.07379202873857477,100
252,ViT_T16,DDI,Derma,30,dc,0.4260869565217391,0.0,100
253,ViT_T16,DDI,Derma,30,knn,0.5661155955567918,0.06113996047173183,100
254,ViT_T16,DDI,Derma,30,lr,0.5380082167850508,0.06085580905970661,100
255,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,1,dc,0.4260869565217391,0.0,100
256,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,1,knn,0.4725339062107372,0.0822448832995855,100
257,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,1,lr,0.4720927527232231,0.08238398660630294,100
258,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,10,dc,0.4260869565217391,0.0,100
259,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,10,knn,0.521232634369242,0.06661142454434758,100
260,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,10,lr,0.5381198517101451,0.0677768119261598,100
261,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,100,dc,0.4260869565217391,0.0,100
262,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,100,knn,0.5939654269308361,0.045423864007987896,100
263,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,100,lr,0.596845256659144,0.047287057246789464,100
264,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,3,dc,0.4260869565217391,0.0,100
265,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,3,knn,0.5003000961629379,0.07597247822099247,100
266,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,3,lr,0.5076371936856277,0.07003995765336636,100
267,ViT_T16,DDI,ImageNet_1k_SL_WinKawaks,30,dc,0.4260869565217391,0.0,100
